year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1979,11,23,Dry,0,0,1,0,0
1979,12,39,Dry,0,0,1,0,0
1979,13,14,Dry and sunny,1,0,1,0,0
1979,14,7,"Partially cloudy, mild and dry with temperatures reaching up to 21 °C (70 °F); wind speeds up to 18.3 kilometres per hour (11.4 mph)[1]",1,0,1,0,0
1979,15,46,Rain with temperatures reaching a maximum of 59 °F (15 °C); wind speeds up to 15 miles per hour (24 km/h)[1],0,0,0,1,0
1978,1,25,Dry,0,0,1,0,0
1978,2,36,Dry,0,0,1,0,0
1978,3,30,Dry,0,0,1,0,0
1978,4,43,Scattered clouds 17 °C (63 °F)[1],0,0,0,0,1
1978,5,6,Dry,0,0,1,0,0
1978,6,40,Dry,0,0,1,0,0
1978,7,45,Dry,0,0,1,0,0
1978,8,47,Sunny and warm,1,0,0,0,0
1978,9,34,Dry,0,0,1,0,0
1978,10,38,Dry,0,0,1,0,0
1978,11,10,Dry,0,0,1,0,0
1978,12,23,Wet,0,0,0,1,0
1978,13,39,Dry,0,0,1,0,0
1978,14,14,Sunny,1,0,0,0,0
1978,15,46,"Cloudy, dry",0,0,1,0,0
1978,16,7,Mostly cloudy and cold5 °C (41 °F)[1],0,0,0,0,1
1977,1,25,Dry,0,0,1,0,0
1977,2,18,Dry,0,0,1,0,0
1977,3,30,Sunny,1,0,0,0,0
1977,4,43,Sunny with temperatures reaching up to 68 °F (20 °C); winds gusting up to 10.9 miles per hour (17.5 km/h)[1],1,0,0,0,0
1977,5,45,not found,0,0,0,0,0
1977,6,6,Dry,0,0,1,0,0
1977,7,40,Wet,0,0,0,1,0
1977,8,47,Dry,0,0,1,0,0
1977,9,41,Dry,0,0,1,0,0
1977,10,9,Sunny,1,0,0,0,0
1977,11,10,Dry,0,0,1,0,0
1977,12,23,"Wet, then drying",0,0,0,0,0
1977,13,39,Dry,0,0,1,0,0
1977,14,14,Dry,0,0,1,0,0
1977,15,46,Rain with temperatures reaching up to 63 °F (17 °C); winds gusting up to 12.8 miles per hour (20.6 km/h)[1],0,0,0,1,0
1977,16,48,Cold with temperatures approaching 12 °C (54 °F); wind speeds up to 12.8 kilometres per hour (8.0 mph)[1],0,1,0,0,0
1977,17,16,Dry,0,0,1,0,0
1976,1,18,Sunny,1,0,0,0,0
1976,2,30,Sunny,1,0,0,0,0
1976,3,43,Hot and sunny with temperatures reaching up to 70 °F (21 °C); wind speeds approaching speeds up to 15 miles per hour (24 km/h)[2],1,0,0,0,0
1976,4,45,not found,0,0,0,0,0
1976,5,40,not found,0,0,0,0,0
1976,6,6,Dry,0,0,1,0,0
1976,7,47,Dry,0,0,1,0,0
1976,8,34,not found,0,0,0,0,0
1976,9,38,Dry,0,0,1,0,0
1976,10,20,"Rain at start, later drying",0,0,0,1,0
1976,11,23,not found,0,0,0,0,0
1976,12,39,"Warm, dry",0,0,1,0,0
1976,13,14,not found,0,0,0,0,0
1976,14,48,Mild with temperatures approaching 22 °C (72 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[2],1,0,0,0,0
1976,15,46,Sunny with temperatures reaching up to 61 °F (16 °C); winds gusting up to 15.9 miles per hour (25.6 km/h)[2],1,0,0,0,0
1976,16,16,"Very wet and misty, eventually drying",0,0,0,1,0
1975,1,25,Hot and sunny,1,0,0,0,0
1975,2,18,Hot and dry,1,0,1,0,0
1975,3,30,Sunny,1,0,0,0,0
1975,4,49,Sunny,1,0,0,0,0
1975,5,6,"Rain, later drying",0,0,0,0,0
1975,6,40,Dry and sunny,1,0,1,0,0
1975,7,47,Dry,0,0,1,0,0
1975,8,39,"Wet, drying later",0,0,0,0,0
1975,9,34,Dry and sunny,1,0,1,0,0
1975,10,9,"Sunny, then overcast, then heavy rain",0,0,0,1,0
1975,11,20,Dry and sunny,1,0,1,0,0
1975,12,23,Heavy rain,0,0,0,1,0
1975,13,14,Dry and sunny,1,0,1,0,0
1975,14,46,Partly sunny with temperatures reaching a maximum of 69.1 °F (20.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],1,0,0,0,0
1974,1,25,Hot and sunny,1,0,0,0,0
1974,2,18,"Cloudy and dry in the first phase, then seasonal monsoon later.",0,0,1,0,1
1974,3,30,not found,0,0,0,0,0
1974,4,45,not found,0,0,0,0,0
1974,5,50,not found,0,0,0,0,0
1974,6,6,not found,0,0,0,0,0
1974,7,47,not found,0,0,0,0,0
1974,8,39,not found,0,0,0,0,0
1974,9,41,not found,0,0,0,0,0
1974,10,38,not found,0,0,0,0,0
1974,11,20,"Overcast, showers",0,0,0,1,0
1974,12,23,not found,0,0,0,0,0
1974,13,14,not found,0,0,0,0,0
1974,14,48,Cold with temperatures approaching 13.3 °C (55.9 °F); wind speeds up to 15 kilometres per hour (9.3 mph)[1],0,1,0,0,0
1974,15,46,"Clear, warm",1,0,0,0,0
1973,1,25,not found,0,0,0,0,0
1973,2,18,Partly cloudy and hot,1,0,0,0,1
1973,3,30,"Sunny, Hot, Dry",0,0,1,0,0
1973,4,49,"Sunny, Hot, Dry",0,0,1,0,0
1973,5,40,"Warm, dry",0,0,1,0,0
1973,6,6,not found,0,0,0,0,0
1973,7,47,not found,0,0,0,0,0
1973,8,34,Sunny and warm,1,0,0,0,0
1973,9,9,Dry,0,0,1,0,0
1973,10,39,Dry,0,0,1,0,0
1973,11,20,Dry,0,0,1,0,0
1973,12,23,not found,0,0,0,0,0
1973,13,14,not found,0,0,0,0,0
1973,14,48,Mild with temperatures approaching 22.2 °C (72.0 °F); wind speeds up to 11.8 kilometres per hour (7.3 mph)[1],1,0,0,0,0
